ID,land_use_change_rank2
9,4
10,4
11,4
12,4
13,2
14,2
15,2
16,2
17,5
18,5
19,1
20,1
22,4
23,4
24,4
25,4
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,5
64,4
65,4
66,5
67,4
68,4
69,5
70,4
71,4
72,5
73,4
74,4
75,5
76,4
77,4
78,5
79,4
80,4
81,5
82,4
83,4
84,5
85,4
86,4
87,5
88,4
89,4
90,5
91,4
92,4
93,5
94,4
95,4
96,5
97,4
98,4
99,5
100,4
101,4
102,5
103,4
104,4
105,5
106,1
107,1
108,1
109,1
110,1
111,1
170,4
171,1
172,1
173,1
174,1
175,1
176,4
177,4
178,4
179,4
180,4
181,4
182,4
183,4
184,4
185,2
186,2
187,1
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
207,5
208,5
209,5
210,5
211,5
212,5
213,5
214,5
215,5
222,4
223,4
224,4
225,4
226,4
227,4
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,2
253,2
254,2
255,2
256,4
257,4
258,4
259,2
260,2
261,2
262,4
263,4
264,4
265,4
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,4
307,4
308,4
309,4
310,4
311,4
312,4
313,4
314,4
327,2
328,2
329,4
330,4
331,2
332,2
333,4
334,4
350,5
351,5
352,5
353,5
354,5
355,5
356,5
357,5
360,5
361,5
362,3
363,3
364,5
365,5
366,5
367,5
368,5
369,5
370,5
371,5
372,5
373,5
374,5
375,5
376,5
377,5
378,5
379,5
380,5
381,5
382,5
383,5
384,5
385,5
386,5
387,5
410,3
411,3
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,2
431,2
432,2
433,2
434,2
435,5
436,3
441,4
442,4
446,1
447,1
448,1
449,2
450,2
451,2
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
470,1
471,1
472,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
542,1
543,1
550,3
551,3
552,3
553,3
554,3
555,3
653,3
654,3
676,3
677,2
678,2
679,2
680,2
681,2
682,2
683,2
684,2
685,2
686,2
687,2
688,2
689,2
690,2
691,2
692,2
693,2
694,2
695,2
696,2
697,2
698,2
699,2
700,2
701,2
702,2
703,2
704,2
705,2
706,2
707,2
708,2
709,2
710,2
711,2
712,2
713,2
714,2
715,2
716,2
717,2
718,2
719,2
720,2
721,2
722,2
723,2
724,2
725,2
726,2
727,2
728,2
729,2
730,2
731,2
732,2
733,2
734,2
735,2
736,2
737,2
738,2
739,2
740,2
741,2
742,2
743,2
744,2
745,2
746,2
747,2
748,2
749,2
750,2
751,2
752,2
753,2
754,2
755,2
756,2
757,2
758,2
759,2
760,2
761,2
762,2
763,2
764,2
765,4
766,4
767,4
768,4
769,4
770,4
771,2
772,2
773,2
774,2
775,2
776,2
777,2
778,2
779,2
780,2
781,2
782,2
783,2
784,2
785,2
786,1
787,1
788,1
789,4
790,4
791,4
792,2
793,2
794,2
795,2
796,2
797,2
798,1
799,1
800,1
801,2
802,2
803,2
804,2
805,2
806,2
807,2
808,2
809,2
810,2
811,2
812,2
813,2
814,2
815,2
816,2
817,2
818,2
819,2
820,2
821,2
822,1
823,1
824,1
825,2
826,2
827,2
828,2
829,2
830,2
831,2
832,2
833,2
834,1
835,1
836,1
837,4
838,4
839,4
840,2
841,2
842,2
843,2
844,2
845,2
846,4
847,4
848,4
849,2
850,2
851,2
852,1
853,1
854,1
855,2
856,2
857,2
880,4
881,4
882,4
883,4
884,4
885,4
886,4
887,4
888,4
889,4
890,4
891,4
892,4
893,4
894,4
895,4
933,1
934,1
935,1
936,1
937,1
957,1
958,1
962,5
963,5
964,5
965,5
966,5
967,5
968,5
969,5
970,5
971,5
972,5
973,5
974,3
975,3
976,3
977,5
978,5
979,4
980,4
981,4
982,3
983,3
984,3
985,4
986,4
987,4
988,2
989,2
990,2
991,4
992,4
993,4
994,3
995,3
996,3
997,5
998,5
999,5
1000,4
1001,4
1002,4
1006,3
1007,3
1008,3
1009,3
1010,3
1011,3
1012,3
1013,3
1014,3
1015,2
1016,2
1017,2
1018,2
1019,2
1020,2
1021,2
1022,2
1023,5
1024,5
1025,5
1026,4
1027,4
1028,4
1029,4
1030,4
1031,4
1032,2
1033,2
1034,2
1035,4
1036,4
1037,4
1038,4
1039,4
1040,4
1041,4
1042,4
1043,4
1044,5
1045,5
1046,5
1047,5
1048,5
1049,5
1050,3
1051,3
1052,3
1053,3
1054,3
1055,3
1056,3
1057,3
1058,3
1059,3
1060,3
1061,3
1062,3
1063,3
1064,3
1065,5
1066,5
1067,5
1068,4
1069,4
1070,5
1071,5
1072,5
1073,5
1074,3
1075,3
1076,5
1077,5
1078,5
1079,5
1080,5
1081,5
1082,3
1083,3
1084,5
1085,5
1086,5
1087,5
1088,5
1089,5
1090,5
1091,3
1092,3
1093,5
1094,5
1095,5
1096,5
1097,5
1098,5
1099,5
1100,5
1101,5
1102,5
1103,5
1104,5
1105,3
1106,3
1107,5
1108,5
1109,5
1110,5
1111,5
1112,5
1113,4
1114,4
1115,4
1116,4
1117,4
1118,2
1119,4
1120,2
1121,4
1122,2
1123,4
1124,2
1125,2
1126,4
1127,2
1128,2
1129,4
1130,2
1131,2
1132,2
1133,2
1134,2
1135,4
1136,4
1137,4
1138,4
1139,2
1140,2
1141,2
1142,2
1143,4
1144,4
1145,4
1146,4
1147,4
1148,4
1149,4
1150,4
1151,4
1152,4
1153,4
1154,4
1155,4
1156,4
1157,4
1158,4
1159,4
1160,4
1161,4
1162,4
1163,4
1164,4
1165,4
1166,2
1167,4
1168,4
1169,4
1170,4
1171,4
1172,2
1173,4
1174,4
1175,4
1176,4
1177,4
1178,4
1179,4
1180,4
1181,4
1182,4
1183,4
1184,4
1185,4
1186,4
1187,4
1188,4
1189,2
1190,2
1191,2
1192,2
1193,2
1194,2
1195,2
1196,2
1322,5
1323,5
1324,1
1325,1
1326,1
1327,1
1328,1
1329,1
1330,1
1331,1
1332,1
1333,1
1334,1
1335,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,1
1358,1
1359,1
1360,1
1361,1
1362,1
1363,2
1364,2
1365,2
1366,2
1367,2
1368,2
1369,2
1370,2
1371,2
1372,2
1373,2
1374,2
1378,2
1379,2
1380,2
1381,2
1382,2
1383,2
1384,2
1385,2
1386,2
1387,2
1388,2
1389,2
1393,2
1394,2
1395,2
1396,2
1397,2
1398,2
1399,2
1400,2
1401,2
1402,2
1403,2
1404,2
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1415,1
1416,1
1417,1
1418,1
1419,1
1420,1
1421,1
1422,1
1423,1
1424,1
1425,1
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,1
1449,1
1450,1
1451,1
1452,1
1453,1
1454,1
1455,1
1456,1
1457,1
1458,1
1459,1
1460,1
1461,1
1462,1
1463,1
1464,1
1465,1
1466,1
1467,1
1468,1
1469,1
1470,1
1471,1
1472,1
1473,1
1474,1
1475,1
1476,1
1477,1
1478,1
1479,1
1480,1
1481,1
1482,1
1483,1
1484,1
1485,1
1486,1
1487,1
1488,1
1489,1
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,1
1497,1
1498,1
1499,1
1500,1
1501,1
1502,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,1
1510,1
1511,1
1512,1
1513,1
1514,1
1515,1
1516,3
1517,3
1518,3
1519,3
1520,5
1521,5
1522,3
1523,3
1524,3
1525,3
1526,3
1527,5
1528,5
1529,5
1530,5
1531,5
1532,2
1533,2
1534,2
1535,5
1536,4
1537,4
1538,4
1539,4
1540,4
1541,5
1542,5
1543,5
1544,5
1545,5
1546,5
1547,5
1548,5
1549,2
1550,2
1551,2
1552,2
1553,2
1554,2
1555,2
1556,4
1557,4
1558,4
1559,4
1560,4
1561,4
1562,4
1563,4
1564,4
1565,4
1566,4
1567,4
1568,4
1569,4
1570,4
1571,4
1572,4
1573,4
1574,4
1575,4
1576,4
1577,4
1578,4
1579,4
1580,4
1581,4
1582,4
1583,4
1584,5
1585,5
1586,5
1587,5
1588,5
1589,5
1590,5
1591,5
1592,5
1593,5
1594,5
1595,5
1596,5
1597,5
1598,1
1599,1
1600,1
1601,1
1602,1
1603,1
1604,1
1605,1
